Autor,Título,Área do Conhecimento,Tipo Documento,Unidade,Ano,Link
"Abreu, Amanda Moniz de",Os crimes de perigo abstrato na Sociedade Global de Risco,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2013,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-26112013-150227/?&lang=br
"Aguiar, Carolina Costa de",Externalidades positivas e custos dos espaços protegidos em áreas de produção su...,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2013,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-06082013-153620/?&lang=br
"Aguiar, Lucas Andrade",Tratamento diferenciado dos países em desenvolvimento no órgão de solução de controvérsias...,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2014,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-01062015-152036/?&lang=br
"Alexandre, Juliana",A relação entre o método dialético e deliberativo em Aristóteles,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2013,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-17122013-092858/?&lang=br
"Almeida, Gabriela Perissinotto de",A obrigação de cumprir a lei e a desobediência civil como forma de oposição às leis...,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2014,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-26052015-205711/?&lang=br
"Alves, Felipe Chanteau Abuchaim",Lei n° 12.760/2012: um simbolismo violador de direitos e seu questionável benefício...,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2015,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-01092016-083927/?&lang=br
"Alves, Mariana Agarie Sant'Ana",Incidente de Resolução de Demandas Repetitivas,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2017,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-07122018-110820/?&lang=br
"Amaral, Ana Paula Pavanello do",Regulação e concorrência: breve panorama sobre o setor de energia elétrica brasi...,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2014,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-11052015-145714/?&lang=br
"Amato, André Luís Vedovato",A conformação do mercado da educação superior privada no Brasil: Análise a partir...,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2016,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-23052017-190619/?&lang=br
"Andrade, Mariana Cunha de",Alienação Parental e o Sistema de Justiça Brasileiro,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2017,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-22052017-144639/?&lang=br
"Antonietto, André Luis Gomes",Análise do Perfil Institucional dos Conselhos de Políticas Públicas de Ribeirão Preto...,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2014,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-11052015-171527/?&lang=br
"Aquino, Pedro Lopes de",Dolo eventual ou culpa consciente no homicídio por embriaguez no trânsito  ánálise...,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2015,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-06092016-144235/?&lang=br
"Aratani, Danilo Fujinami",Análise da natureza e eficácia do art. 3º da Constituição Federal de 1988,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2014,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-26062015-135432/?&lang=br
"Araujo, Ana Carolina Palma de",O direito por outras vozes: reflexões críticas a partir da música de Racionais Mcs...,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2013,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-30012014-095827/?&lang=br
"Ariyoshi, Karen Harumi",As interfaces entre a proteção internacional do meio ambiente e o desenvolvimento...,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2013,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-10122013-085850/?&lang=br
"Assis, Natália Mendes de",Os princípios informadores e substituição tributária progressiva no âmbito do IC...,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2013,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-30012014-164507/?&lang=br
"Balestra, Vinícius Batelli de Souza",Direito à Memória em Contextos de Transição Política,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2013,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-20122013-095726/?&lang=br
"Barreiros, Gustavo Alem",Estatísticas criminais oficiais brasileiras como evidências empíricas: um estudo...,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2015,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-27052015-145612/?&lang=br
"Barros, Vitor Ortiz Amando de",O Bicameralismo brasileiro: análise e perspectivas,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2014,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-06082015-165727/?&lang=br
"Barroso, Melina Chagas",Direito à morte: autonomia para morrer com dignidade,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2014,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-10062015-140252/?&lang=br
"Basile, Flávio",As cláusulas pro soluto e pro solvendo no contrato de factoring,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2013,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-09122013-082852/?&lang=br
"Benatti, Raysa Masson",Migração de cérebros: panorama no início do século XXI e especificidades brasi...,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2014,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-10062015-163119/?&lang=br
"Bertella, André de Cezare",O clube de futebol como sociedade empresária,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2015,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-25082016-094538/?&lang=br
"Boldrin, Paulo Henrique Martinucci",A efetividade da Comissão de Análise de Solicitações Especiais na judicialização...,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2014,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-10062015-160412/?&lang=br
"Bonato, Maria Elisa Palomine",A desaposentação: uma análise jurisprudencial,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2013,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-17122013-094453/?&lang=br
"Brito, Ricardo Tieri de",Retribuição e Justiça na Oresteia de Ésquilo,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2013,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-18122013-152358/?&lang=br
Bruna de Cassia Teixeira,ACESSO AOS BENS DE SAÚDE PELA VIA JUDICIAL NA JURISPRUDÊNCIA DO SUPREMO TRIBUNAL...,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2013,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-02082013-122707/?&lang=br
"Caixeta, Ricardo Lima",Qualificação de títulos judiciais pelo registrador de imóveis,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2014,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-26062015-140416/?&lang=br
"Campos, Ana Carolina Zavaglia Malta",Autocomposição como meio de resolução de conflitos civis: a mediação,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2013,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-27112013-090729/?&lang=br
"Campos, Carolina Silva",O papel das taxas ambientais na promoção do meio ambiente ecologicamente equilib...,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2013,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-30012014-101425/?&lang=br
"Carvalho, Aruan Filipe Osório e",Concentração empresarial x Concentração econômica,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2013,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-27112013-154923/?&lang=br
"Carvalho, Gabriele Angelucci",Outorga onerosa do direito de construir e a efetivação da função social da propriedade...,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2013,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-09122013-091755/?&lang=br
"Castro, Cristiano da Dalt",Tutela Jurídica do Aquífero Guarani em Ribeirão Preto e suas Consequências Socia...,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2015,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-29082016-095319/?&lang=br
"Cesário, Natália de Aquino",A discriminação na cobrança de tarifas de energia e telefonia como estratégia de...,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2014,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-10062015-141614/?&lang=br
"Chaves, Bruna Salgado",A política criminal de drogas na América Latina: análise comparativa das políticas...,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2015,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-26082016-112919/?&lang=br
"Clementino, Frederico Geraldo",Produção antecipada de provas sem urgência no novo Código de Processo Civil (Lei...,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2015,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-01092016-101036/?&lang=br
"Coelho, Emily Alves de Souza",Análise de manejo ambiental para o controle do carrapato Amblyomma sp no campus da...,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2015,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-31082016-090428/?&lang=br
"Coelho, Thales Cavalcanti",O consentimento da vítima na criminalização da eutanásia,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2013,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-12082013-090133/?&lang=br
"Cordido, Ruth Maria de Barros Reicao",O Tombamento do Patrimônio Cultural Imóvel no Brasil: Estudo de Caso no Município...,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2014,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-26062015-141109/?&lang=br
"Cruvinel, Carolina Garcia",ARBITRAGEM E O DIREITO TRABALHISTA: A (IN)APLICABILIDADE NOS CONFLITOS INDIVIDUA...,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2016,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-23052017-185640/?&lang=br
"Cunha, Jorge Eduardo Celano de Vasconcelos",Responsabilidade extracontratual do Estado,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2015,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-02092016-105401/?&lang=br
"Czimmermann, Fernanda Riviera",A operação urbana consorciada da região do Porto do Rio de Janeiro sob a ótica do...,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2013,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-28112013-090528/?&lang=br
"Dario, Bruno Baltieri","O setor sucroenergético e a terceirização do corte, carregamento e transporte de...",Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2014,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-12052015-202614/?&lang=br
"Dias Neto, Zózimo de Paula",Adoção por famílias homoafetivas: visão histórico-jurídica,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2013,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-20122013-101813/?&lang=br
"Dias, Luara Borges",Delação Premiada como Instrumento de Regulação Econômica: Utilização de acordos de...,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2016,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-22052017-164502/?&lang=br
"Diogo, Tharik",Irretroatividade da interpretação jurisprudencial mais gravosa da norma penal,Direito - Direito,TCC,Faculdade de Direito de Ribeirão Preto,2013,http://www.tcc.sc.usp.br/tce/disponiveis/89/890010/tce-20122013-091108/?&lang=br
